Disease (MeSH Tree),Disease (MeSH Tree).1,Relationship
MeSH_Tree_Disease:C01.069,MeSH_Tree_Disease:C01,-subclass_of->
MeSH_Tree_Disease:C01.100,MeSH_Tree_Disease:C01,-subclass_of->
MeSH_Tree_Disease:C01.100.500,MeSH_Tree_Disease:C01.100,-subclass_of->
MeSH_Tree_Disease:C01.125,MeSH_Tree_Disease:C01,-subclass_of->
MeSH_Tree_Disease:C01.150,MeSH_Tree_Disease:C01,-subclass_of->
MeSH_Tree_Disease:C01.150.252,MeSH_Tree_Disease:C01.150,-subclass_of->
MeSH_Tree_Disease:C01.150.252.100,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.100.375,MeSH_Tree_Disease:C01.150.252.100,-subclass_of->
MeSH_Tree_Disease:C01.150.252.162,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.437,MeSH_Tree_Disease:C01.150.252.223,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500,MeSH_Tree_Disease:C01.150.252.223,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.350,MeSH_Tree_Disease:C01.150.252.223.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.425,MeSH_Tree_Disease:C01.150.252.223.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.500,MeSH_Tree_Disease:C01.150.252.223.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.750,MeSH_Tree_Disease:C01.150.252.223.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.750.500,MeSH_Tree_Disease:C01.150.252.223.500.750,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.875,MeSH_Tree_Disease:C01.150.252.223.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.500.937,MeSH_Tree_Disease:C01.150.252.223.500,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.600,MeSH_Tree_Disease:C01.150.252.223,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.600.800,MeSH_Tree_Disease:C01.150.252.223.600,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.850,MeSH_Tree_Disease:C01.150.252.223,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.850.400,MeSH_Tree_Disease:C01.150.252.223.850,-subclass_of->
MeSH_Tree_Disease:C01.150.252.223.850.800,MeSH_Tree_Disease:C01.150.252.223.850,-subclass_of->
MeSH_Tree_Disease:C01.150.252.245,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.245.500,MeSH_Tree_Disease:C01.150.252.245,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289,MeSH_Tree_Disease:C01.150.252,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.225,MeSH_Tree_Disease:C01.150.252.289,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.225.250,MeSH_Tree_Disease:C01.150.252.289.225,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.225.625,MeSH_Tree_Disease:C01.150.252.289.225,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.225.800,MeSH_Tree_Disease:C01.150.252.289.225,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.400,MeSH_Tree_Disease:C01.150.252.289,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.450,MeSH_Tree_Disease:C01.150.252.289,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.800,MeSH_Tree_Disease:C01.150.252.289,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.900,MeSH_Tree_Disease:C01.150.252.289,-subclass_of->
MeSH_Tree_Disease:C01.150.252.289.900.675,MeSH_Tree_Disease:C01.150.252.289.900,-subclass_of->
